"state","year","addCC","CTC","edservs","edsubs","fedEITC","fedSSI","HCD","HeadStartPriv","highered","lib","Medicaid_CHIP","other_health","othercashserv","parkrec","pell","PK12ed","pubhealth","SNAP","socsec","stateEITC","TANFbasic","unemp","wcomp"
"Alabama",1997,0,0,350838.21875,153610.15625,1108307.875,183427.359375,322637.9375,79529.84375,1363824.25,59888.18359375,NA,NA,608774.4375,306912.34375,172289.046875,4665308.5,1104736.125,285652,394577.84375,0,90994.203125,398464.15625,0
"Alabama",1998,0,316940.6875,360017.46875,164853.546875,1104038.75,189028.578125,373019.125,78532.2578125,1407165.125,70488.5390625,466612.09375,5561545.5,1113345.125,322766.125,180240.421875,4936372.5,1109898,259185.765625,395535.03125,0,62383.6015625,264625.6875,0
"Alabama",1999,0,406873.21875,397330.75,175394.703125,1110300.5,166693.890625,383611.59375,86251.34375,1477568.5,76318.9765625,582230.75,5748182,1190147.875,279667.96875,182014.015625,5263485.5,1154897.375,252973.0625,404392.125,0,48939.30078125,265382.75,0
"Alabama",2000,0,400676.875,375077.90625,189663.34375,1115508.5,177257.5625,346068.21875,96889.46875,1476929.75,80574.1484375,592836.25,6489147.5,1209696.875,294472.4375,203082.59375,5460038.5,1141217.75,241691.640625,414280.5625,0,49527.32421875,254759.03125,0
"Alabama",2001,0,434994.53125,379801.9375,220572.765625,1131399.75,190053.609375,383239.4375,109519.2109375,1524913.625,81615.125,797087.1875,6611283.5,1294521.25,339264.875,260593.078125,5509615,1206496.5,253375.296875,426875.03125,0,42401.0859375,348898.59375,0
"Alabama",2002,0,403933.5,387030.3125,251840.125,1239040.5,202134,421676.15625,106089.9140625,1581822.75,83193.2421875,1077113.25,6697375,1377992.125,384714.90625,301449.875,5596258,1277773.625,272367.0625,435697.03125,0,43066.2265625,441842.90625,0
"Alabama",2003,0,416396.75,451881.625,258707.5,1260563,203612.75,436043.3125,114588.0625,1622516.375,89522.1484375,1254432.625,6795170,1428165.25,387170.0625,314453.78125,5692527,1310215,299497.625,445451.34375,0,59297.44140625,415714.375,0
"Alabama",2004,0,578716.5,511324.4375,263763.625,1282428.5,206293.53125,447239.125,111486.671875,1651951.375,95056.4296875,1196913.625,7068837.5,1486062,387246.84375,299061.5625,5751271,1333582.625,336828.28125,456079.21875,0,56247.80859375,388253.78125,0
"Alabama",2005,0,564258.1875,301215.5625,269542.375,1324812,210890.65625,445802.625,108920.5234375,1663550,98417.734375,1209594.25,7515585,731023.75,418265.625,271099.3125,5988129.5,934084.5625,378270.78125,467583.28125,0,57617.83984375,259379.375,0
"Alabama",2006,0,546800.875,313356.4375,287807.90625,1342454,216644.625,448517.34375,104605.8046875,1797792.75,93598.21875,1350494.125,7242344.5,762449.8125,432983.59375,255223.234375,6450460.5,936077.5625,356535,479493.96875,0,40717.04296875,236430.640625,0
